topic,label,theme,big_theme
1,"ietf, will, meeting, wrote, people, travel, can, mar, countries, list",Meeting logistics and travel planning,Meeting and Process
2,"ietf, process, iesg, community, rfc, list, think, might, time, llc",Organizational processes and standards,Meeting and Process
3,"nomcom, ietf, wrote, people, can, feedback, one, time, like, will",NomCom feedback and personnel discussions,People and Organizations
4,"rfc, historic, ietf, will, think, standard, telnet, protocol, document, use",Historical protocol standards and document use,Standards and Protocols
5,"review, last, call, reviews, document, john, directorate, area, list, ietf",Document review and area evaluation,Meeting and Process
6,"ipv, wrote, ietf, email, ftp, support, mail, dont, john, internet",Tech support and network protocol issues,Standards and Protocols
7,"wrote, list, email, ietf, see, michael, orcid, can, people, will","Mailing lists, ORCID, and communication",People and Organizations
8,"tls, internet, christian, huitema, ietf, wrote, will, cas, ted, can",TLS and network security discussions,People and Organizations
9,"wrote, ietf, may, will, charter, work, standards, just, requirement, dave",Charters and standardization plans,Meeting and Process
10,"secure, can, dns, browser, file, use, files, name, trust, content","Security, DNS, and content trust",Standards and Protocols
